Frame,Coverage [%],Cell Density [bacteria/pixel^2],Cell Density [bacteria/micron^2]
0,11.538773926736791,0.00011992034613502935,0.028383513878113453
1,11.596058586105675,0.00012063700159001957,0.028553136471010546
2,11.600024079623287,0.00012111477189334638,0.028666218199608608
3,11.607668404476517,0.0001223091976516634,0.02894892252110376
4,11.617940465998043,0.0001223091976516634,0.02894892252110376
5,11.644743380014678,0.00012302585310665362,0.029118545114000853
6,11.678593406005382,0.0001220703125,0.02889238165680473
7,11.734038649706457,0.00012398139371330724,0.029344708571196976
8,11.689271572284737,0.00012469804916829746,0.02951433116409407
9,11.695172035530822,0.00012517581947162426,0.02962741289269213
10,11.708047945205479,0.00012422027886497064,0.029401249435496008
11,11.740655768407535,0.00012517581947162426,0.02962741289269213
12,11.837547585922211,0.0001266091303816047,0.029966658078486315
13,11.832769882888943,0.00012756467098825832,0.030192821535682438
14,11.860122232754403,0.00012852021159491194,0.03041898499287856
15,11.916427463001469,0.00013019240765655579,0.030814771042971777
16,11.889791768591,0.00012971463735322896,0.030701689314373715
17,11.857685604207436,0.00012947575220156556,0.030645148450074683
18,11.815044604635519,0.00012780355613992172,0.03024936239998147
19,11.842540285591976,0.00012995352250489236,0.030758230178672744
20,11.85231068829501,0.00012971463735322896,0.030701689314373715
21,11.825245000611547,0.00013067017795988258,0.030927852771569838
22,11.816549581091,0.0001318646037181996,0.031210557093064993
23,11.828517727189334,0.0001316257185665362,0.03115401622876596
24,11.978919818676614,0.00013282014432485322,0.031436720550261116
25,12.072276135946673,0.00013353679977984344,0.03160634314315821
26,12.1581314594545,0.0001359256512964775,0.03217175178614851
27,12.216323882399706,0.00013712007705479453,0.03245445610764367
28,12.250603901663405,0.0001349701106898239,0.03194558832895239
29,12.304281395242173,0.0001364034215998043,0.03228483351474658
30,12.344414100721625,0.00013712007705479453,0.03245445610764367
31,12.403418733182486,0.00013759784735812132,0.03256753783624173
32,12.375875275195694,0.00013831450281311155,0.03273716042913882
33,12.365770433280334,0.00013807561766144815,0.032680619564839794
34,12.366319869129159,0.00013783673250978475,0.03262407870054076
35,12.410824172884052,0.00013927004341976517,0.032963323886334946
36,12.55334305436644,0.0001399866988747554,0.03313294647923204
37,12.508145983671723,0.0001399866988747554,0.03313294647923204
38,12.562802906372308,0.0001414200097847358,0.03347219166502622
39,12.481605843321917,0.0001399866988747554,0.03313294647923204
40,12.33034376528865,0.0001407033543297456,0.03330256907212913
41,12.34195358365949,0.00014261443554305285,0.03375489598652138
42,12.439275394447161,0.00014333109099804304,0.03392451857941847
43,12.464525554977984,0.00014380886130136987,0.03403760030801653
44,12.449666898544521,0.00014380886130136987,0.03403760030801653
45,12.396371621208415,0.00014380886130136987,0.03403760030801653
46,12.51533642673679,0.0001459588276663405,0.034546468086707804
47,12.492188455540607,0.0001454810573630137,0.03443338635810975
48,12.408076993639922,0.0001447644019080235,0.03426376376521265
49,12.3852395731409,0.00014524217221135029,0.03437684549381072
50,12.397589935481898,0.0001445255167563601,0.034207222900913624
51,12.297090952177104,0.00014858656433463797,0.035168417593997144
52,12.46970936276908,0.0001493032197896282,0.03533804018689424
53,12.378765785530822,0.0001500198752446184,0.03550766277979133
54,12.422242883133562,0.00015169207130626223,0.03590344882988455
55,12.390805597174657,0.00015312538221624267,0.03624269401567873
56,12.26128206794276,0.00015360315251956947,0.03635577574427679
57,12.348952918603228,0.0001555142337328767,0.03680810265866904
58,12.181828866499512,0.0001540809228228963,0.03646885747287486
59,11.980257575525929,0.0001543198079745597,0.03652539833717389
